Date,No.,Description,Debit,Credit
1/4/2021,,DEBIT CARD PURCHASE  AMAZON WEB SERVICES  AWS.AMAZON.CO  WA,24.37,
1/4/2021,,DEBIT CARD PURCHASE  CHICK-FIL-A #03780,9.54,
1/4/2021,,DEBIT CARD PURCHASE  LINODE.COM  855-4546633    NJ,10,
1/4/2021,,DEBIT CARD PURCHASE  SEVEN ONE ONE   CA,10.71,
1/4/2021,,DEBIT CARD PURCHASE-PIN  ON THE RUN #602       25124101        12416725,30.19,
1/7/2021,,DEBIT CARD PURCHASE  US BANK 0918 ,27.99,
1/11/2021,,DEBIT CARD RECURRING PAYMENT  EXAM PREP  WWW.INSTANTCE  NC,20,
1/11/2021,,DEBIT CARD PURCHASE  BURGER KING #03780,9.54,
1/11/2021,,DEBIT CARD PURCHASE  WALGREENS #11744  ,1.79,
1/12/2021,,REFUND EXAMPLE,,138.91
1/13/2021,,DEBIT CARD PURCHASE  CHIPOTLE 0918  ,7.99,
1/14/2021,,REFUND EXAMPLE,,20
1/14/2021,,DEBIT CARD RECURRING PAYMENT  SPOTIFY  877-778-1161   NY,9.99,
1/14/2021,,ACH DEBIT  CLUB FEES  CLUB FITNESS ABC  TRACE NO: 062000010374549,25.06,
1/19/2021,,DEBIT CARD PURCHASE  APPLE MUSIC,10.01,
1/21/2021,,DEBIT CARD PURCHASE  SNOW.COM/VAIL RESORTS SKI  888-838-0495   CO,55.2,
1/22/2021,,DEBIT CARD PURCHASE-PIN  ON THE RUN #609       25115801    11581535,26.7,
1/25/2021,,DEBIT CARD PURCHASE  JIMMY JOHNS - 3423  ,9.54,
1/25/2021,,DEBIT CARD PURCHASE  SMOOTHIE KING - 1792  ,8.91,
1/25/2021,,DEBIT CARD PURCHASE  GROCERY STORE,14.93,
1/25/2021,,DEBIT CARD PURCHASE  HOPPERS PUB  573-8550421,7.85,
1/25/2021,,DEBIT CARD PURCHASE  HIDDEN VALLEY TICKETS  WILDWOOD       MO,43,
1/25/2021,,ACH DEBIT  CLUB FEES  CLUB FITNESS ABC  TRACE NO: 062000015223896,43.58,
1/25/2021,,DEBIT CARD PURCHASE  IHOP,19.62,
1/25/2021,,DEBIT CARD PURCHASE  EXAMPLE TRANSACTION,7.99,
1/25/2021,,DEBIT CARD PURCHASE-PIN  ON THE RUN #120       25206401 20644919,2,
1/29/2021,,DEBIT CARD PURCHASE  SEAT GEEK  CA,14.95,
2/2/2021,,DEBIT CARD PURCHASE  LINODE  8554546633     PA,10,
2/8/2021,,DEBIT CARD PURCHASE-PIN  ON THE RUN #120      20644674,0.94,
2/8/2021,,DEBIT CARD PURCHASE  AIRLINE,1.75,
2/8/2021,,DEBIT CARD PURCHASE  LUCKY HOUSE,9.23,
2/8/2021,,DEBIT CARD PURCHASE  MICROSOFT,9.1,
2/8/2021,,DEBIT CARD PURCHASE  VENMO*  VISA DIRECT    NY,5,
2/9/2021,,DEBIT CARD PURCHASE  SMOOTHIE KING - 1792 ,8.91,
2/16/2021,,ACH DEBIT  CLUB FEES  LIFETIME FITNESS,25.06,
2/16/2021,,DEBIT CARD RECURRING PAYMENT  SPOTIFY  877-778-1161   NY,9.99,
2/18/2021,,DEBIT CARD PURCHASE  GOOGLE*DOMAINS  INTERNET       CA,12,
2/19/2021,,DEBIT CARD PURCHASE  APPLE IPHONE,9.1,
2/22/2021,,DEBIT CARD PURCHASE  HIDDEN VALLEY F&B  ,8.74,
2/22/2021,,DEBIT CARD PURCHASE-PIN  BP#8767964ELLIS   SONY    38861301      86139231,9.99,
2/22/2021,,DEBIT CARD PURCHASE  SNOW.COM/VAIL RESORTS SKI  888-838-0495   CO,55.2,
2/22/2021,,DEBIT CARD PURCHASE  HIDDEN VALLEY TICKETS,32,
3/1/2021,,DEBIT CARD RECURRING EXAMPLES,14.95,
3/2/2021,,DEBIT CARD RECURRING PAYMENT  LINODE  855-454-6633   PA,10,
3/8/2021,,DEBIT CARD PURCHASE-PIN  QT 634 OUTSIDE             001  11030700,16.57,
3/8/2021,,DEBIT CARD PURCHASE  CULVERS ,9.36,
3/8/2021,,DEBIT CARD PURCHASE  SNOW.COM/VAIL RESORTS SKI  888-838-0495   CO,55.2,
3/8/2021,,DEBIT CARD PURCHASE  MULLIGANS GRILL ,14.93,
3/15/2021,,DEBIT CARD RECURRING PAYMENT  SPOTIFY  877-778-1161   NY,9.99,
3/15/2021,,ACH DEBIT  CLUB FEES  CLUB FITNESS ABC  TRACE NO: 062000010842100,25.06,
3/17/2021,,DEBIT CARD PURCHASE  DENTIST,9.1,
3/18/2021,,DEBIT CARD PURCHASE  PHILLIPS 66 - EDISON EXPR,29.8,
3/18/2021,,DEBIT CARD PURCHASE  PANDA EXPRESS #1977  ,10.26,
3/22/2021,,DEBIT CARD PURCHASE-PIN  WALMART 49017405        14516749,61.15,
3/22/2021,,DEBIT CARD PURCHASE  REMSURE_09  VICTORIA ISLA,50,
3/22/2021,,DEBIT CARD PURCHASE  AMZN MKTP US*BN0NE3TQ3 AM  AMZN.COM/BILL  WA,62.99,
3/23/2021,,INTERNATIONAL SERVICE CHARGE,1.5,
3/25/2021,,WORK DEPOSIT,,328
3/29/2021,,DEBIT CARD EXAMPLE SUBSCRIPTION,14.95,
3/29/2021,,DEBIT CARD PURCHASE-PIN  DIERBERGS MARKET PLAC 01254301     17014274,17.77,
3/29/2021,,DEBIT CARD RECURRING PAYMENT  VRV*TRIAL  415-503-9235   CA,9.99,
4/2/2021,,DEBIT CARD RECURRING PAYMENT  LINODE  855-454-6633   PA,10,
4/5/2021,,WORK DEPOSIT,,467.34
4/5/2021,,DEBIT CARD PURCHASE-PIN  QT 634 OUTSIDE             001       13413734,10.01,
4/5/2021,,DEBIT CARD PURCHASE  GAP CA,9.48,
4/12/2021,,DEBIT CARD PURCHASE  IKEA,9.48,
4/12/2021,,DEBIT CARD PURCHASE  SMOOTHIE KING,6.52,
4/12/2021,,DEBIT CARD PURCHASE  HIRO BENTO HOUSE,12.53,
4/14/2021,,GIFTS EXAMPLE,,723.91
4/14/2021,,DEBIT CARD PURCHASE-PIN  TARGET T- 40 THF Blvd 31353084    13315297,9.22,
4/14/2021,,DEBIT CARD RECURRING PAYMENT  SPOTIFY  877-778-1161   NY,9.99,
4/14/2021,,ACH DEBIT  CLUB FEES  PLANET FITNESS,25.06,
4/15/2021,,DEBIT CARD PURCHASE  LEVIS,7.99,
4/19/2021,,DEBIT CARD PURCHASE  NIKE,9.46,
4/19/2021,,DEBIT CARD PURCHASE  FANDANGO  FANDANGO.COM   CA,18.6,
4/22/2021,,DEBIT CARD PURCHASE-PIN  GROCERIES KE 49017404     11341874,35.07,
4/23/2021,,DEBIT CARD PURCHASE  PANDA EXPRESS #1977  ,8.62,
4/26/2021,,DEBIT CARD PURCHASE  AMC CONC  ,9.24,
4/26/2021,,DEBIT CARD PURCHASE-PIN  WALMART KE 49017405        12416962,21.97,
4/27/2021,,DEBIT CARD PURCHASE  QDOBA 2501  ,10.01,
4/27/2021,,DEBIT CARD PURCHASE  SMOOTHIE KING - 1175 - ,5.99,
4/28/2021,,DEBIT CARD RECURRING APPLE MUSIC,9.99,
4/29/2021,,DEBIT CARD RECURRING BOOKS,14.95,
4/29/2021,,DEBIT CARD PURCHASE-PIN  BP#8767964ELLIS    SUPPLIES   38861301       86134754,42.83,
5/3/2021,,DEBIT CARD PURCHASE  CHICK-FIL-A #03780  ,8.7,
5/3/2021,,DEBIT CARD PURCHASE  CHARTWELLS MIS21100318  ,8.06,
5/3/2021,,DEBIT CARD PURCHASE  SMOOTHIE KING - 1792 ,6.52,
5/3/2021,,DEBIT CARD PURCHASE  CHIPOTLE ONLINE  CHIPOTLE.COM   CA,8.01,
5/3/2021,,DEBIT CARD RECURRING PAYMENT  LINODE  855-454-6633   PA,10,
5/3/2021,,DEBIT CARD PURCHASE  SIDNEY'S           MO,12.75,
5/3/2021,,DEBIT CARD PURCHASE  JIMMY JOHNS - 2655  ,10.57,
5/3/2021,,DEBIT CARD PURCHASE  EL MAGUEY ,14.38,
5/10/2021,,DEBIT CARD PURCHASE-PIN  TARGET T- 40 THF Blvd 31353172     14106297,27.27,
5/11/2021,,DEBIT CARD PURCHASE  WALMART ONLINE,12.18,
5/11/2021,,DEBIT CARD PURCHASE  PANERA BREAD #600718 P =,17.55,
5/14/2021,,ACH DEBIT  CLUB FEES  PLANET FITNESS,25.06,
5/14/2021,,DEBIT CARD RECURRING PAYMENT  SPOTIFY  877-778-1161   NY,9.99,
5/17/2021,,DEBIT CARD PURCHASE  COLLEGE TRANSCRIPT  703-742-4200   VA,18.5,
5/24/2021,,DEBIT CARD PURCHASE  GOODCENTS SUBS - 0138 - C ,1.14,
5/25/2021,,ACH DEBIT  MONEYLINE  FIDELITY INVESTMENTS,150.25,
